[13:34:26][INFO ][PID: 1422] KASJER: Rozpoczynam pracę (PID: 1422)
[13:34:26][INFO ][PID: 1422] KASJER: Obsługuję turystę #3 (wiek: 4, VIP: NIE)
[13:34:26][INFO ][PID: 1422] KASJER: Wydaję bilet #1, cena: 11 zł
[13:34:26][INFO ][PID: 1422] KASJER: Obsługuję turystę #2 (wiek: 6, VIP: NIE)
[13:34:26][INFO ][PID: 1422] KASJER: Wydaję bilet #2, cena: 22 zł
[13:34:27][INFO ][PID: 1422] KASJER: Obsługuję turystę #5 (wiek: 4, VIP: NIE)
[13:34:27][INFO ][PID: 1422] KASJER: Wydaję bilet #3, cena: 52 zł
[13:34:27][INFO ][PID: 1422] KASJER: Obsługuję turystę #4 (wiek: 55, VIP: NIE)
[13:34:27][INFO ][PID: 1422] KASJER: Wydaję bilet #4, cena: 15 zł
[13:34:27][INFO ][PID: 1422] KASJER: Obsługuję turystę #6 (wiek: 5, VIP: NIE)
[13:34:27][INFO ][PID: 1422] KASJER: Wydaję bilet #5, cena: 11 zł
[13:34:28][INFO ][PID: 1422] KASJER: Obsługuję turystę #7 (wiek: 35, VIP: NIE)
[13:34:28][INFO ][PID: 1422] KASJER: Wydaję bilet #6, cena: 50 zł
[13:34:29][INFO ][PID: 1422] KASJER: Obsługuję turystę #8 (wiek: 44, VIP: NIE)
[13:34:29][INFO ][PID: 1422] KASJER: Wydaję bilet #7, cena: 30 zł
[13:34:30][INFO ][PID: 1422] KASJER: Obsługuję turystę #9 (wiek: 24, VIP: NIE)
[13:34:30][INFO ][PID: 1422] KASJER: Wydaję bilet #8, cena: 100 zł
[13:34:31][INFO ][PID: 1422] KASJER: Obsługuję turystę #10 (wiek: 51, VIP: NIE)
[13:34:31][INFO ][PID: 1422] KASJER: Wydaję bilet #9, cena: 30 zł
[13:34:31][INFO ][PID: 1422] KASJER: Obsługuję turystę #11 (wiek: 4, VIP: NIE)
[13:34:31][INFO ][PID: 1422] KASJER: Wydaję bilet #10, cena: 11 zł
[13:34:31][INFO ][PID: 1422] KASJER: Obsługuję turystę #12 (wiek: 4, VIP: NIE)
[13:34:31][INFO ][PID: 1422] KASJER: Wydaję bilet #11, cena: 11 zł
[13:34:32][INFO ][PID: 1422] KASJER: Obsługuję turystę #13 (wiek: 33, VIP: NIE)
[13:34:32][INFO ][PID: 1422] KASJER: Wydaję bilet #12, cena: 100 zł
[13:34:33][INFO ][PID: 1422] KASJER: Obsługuję turystę #14 (wiek: 36, VIP: NIE)
[13:34:33][INFO ][PID: 1422] KASJER: Wydaję bilet #13, cena: 100 zł
[13:34:34][INFO ][PID: 1422] KASJER: Obsługuję turystę #15 (wiek: 36, VIP: NIE)
[13:34:34][INFO ][PID: 1422] KASJER: Wydaję bilet #14, cena: 70 zł
[13:34:35][INFO ][PID: 1422] KASJER: Obsługuję turystę #16 (wiek: 69, VIP: NIE)
[13:34:35][INFO ][PID: 1422] KASJER: Wydaję bilet #15, cena: 37 zł
[13:34:35][INFO ][PID: 1422] KASJER: Obsługuję turystę #17 (wiek: 4, VIP: NIE)
[13:34:35][INFO ][PID: 1422] KASJER: Wydaję bilet #16, cena: 37 zł
[13:34:36][INFO ][PID: 1422] KASJER: Obsługuję turystę #18 (wiek: 36, VIP: NIE)
[13:34:36][INFO ][PID: 1422] KASJER: Wydaję bilet #17, cena: 30 zł
[13:34:37][INFO ][PID: 1422] KASJER: Obsługuję turystę #19 (wiek: 60, VIP: NIE)
[13:34:37][INFO ][PID: 1422] KASJER: Wydaję bilet #18, cena: 15 zł
[13:34:38][INFO ][PID: 1422] KASJER: Obsługuję turystę #20 (wiek: 52, VIP: NIE)
[13:34:38][INFO ][PID: 1422] KASJER: Wydaję bilet #19, cena: 30 zł
[13:34:39][INFO ][PID: 1422] KASJER: Obsługuję turystę #21 (wiek: 23, VIP: NIE)
[13:34:39][INFO ][PID: 1422] KASJER: Wydaję bilet #20, cena: 50 zł
[13:34:39][INFO ][PID: 1422] KASJER: Obsługuję turystę #22 (wiek: 5, VIP: NIE)
[13:34:39][INFO ][PID: 1422] KASJER: Wydaję bilet #21, cena: 75 zł
[13:34:40][INFO ][PID: 1422] KASJER: Obsługuję turystę #23 (wiek: 44, VIP: NIE)
[13:34:40][INFO ][PID: 1422] KASJER: Wydaję bilet #22, cena: 50 zł
[13:34:41][INFO ][PID: 1422] KASJER: Obsługuję turystę #24 (wiek: 25, VIP: NIE)
[13:34:41][INFO ][PID: 1422] KASJER: Wydaję bilet #23, cena: 30 zł
[13:34:42][INFO ][PID: 1422] KASJER: Obsługuję turystę #25 (wiek: 24, VIP: NIE)
[13:34:42][INFO ][PID: 1422] KASJER: Wydaję bilet #24, cena: 30 zł
[13:34:42][INFO ][PID: 1422] KASJER: Obsługuję turystę #26 (wiek: 7, VIP: NIE)
[13:34:42][INFO ][PID: 1422] KASJER: Wydaję bilet #25, cena: 11 zł
[13:34:43][INFO ][PID: 1422] KASJER: Obsługuję turystę #27 (wiek: 20, VIP: NIE)
[13:34:43][INFO ][PID: 1422] KASJER: Wydaję bilet #26, cena: 100 zł
[13:34:43][INFO ][PID: 1422] KASJER: Obsługuję turystę #28 (wiek: 5, VIP: NIE)
[13:34:43][INFO ][PID: 1422] KASJER: Wydaję bilet #27, cena: 11 zł
[13:34:44][INFO ][PID: 1422] KASJER: Obsługuję turystę #29 (wiek: 69, VIP: NIE)
[13:34:44][INFO ][PID: 1422] KASJER: Wydaję bilet #28, cena: 52 zł
[13:34:44][INFO ][PID: 1422] KASJER: Obsługuję turystę #30 (wiek: 7, VIP: NIE)
[13:34:44][INFO ][PID: 1422] KASJER: Wydaję bilet #29, cena: 22 zł
[13:34:44][INFO ][PID: 1422] KASJER: Obsługuję turystę #31 (wiek: 7, VIP: NIE)
[13:34:44][INFO ][PID: 1422] KASJER: Wydaję bilet #30, cena: 75 zł
[13:34:45][INFO ][PID: 1422] KASJER: Obsługuję turystę #32 (wiek: 24, VIP: NIE)
[13:34:45][INFO ][PID: 1422] KASJER: Wydaję bilet #31, cena: 50 zł
[13:34:46][INFO ][PID: 1422] KASJER: Obsługuję turystę #33 (wiek: 35, VIP: NIE)
[13:34:46][INFO ][PID: 1422] KASJER: Wydaję bilet #32, cena: 70 zł
[13:34:47][INFO ][PID: 1422] KASJER: Obsługuję turystę #34 (wiek: 34, VIP: NIE)
[13:34:47][INFO ][PID: 1422] KASJER: Wydaję bilet #33, cena: 70 zł
[13:34:48][INFO ][PID: 1422] KASJER: Obsługuję turystę #35 (wiek: 62, VIP: NIE)
[13:34:48][INFO ][PID: 1422] KASJER: Wydaję bilet #34, cena: 70 zł
[13:34:52][INFO ][PID: 1422] KASJER: Obsługuję turystę #36 (wiek: 36, VIP: NIE)
[13:34:52][INFO ][PID: 1422] KASJER: Wydaję bilet #35, cena: 50 zł
[13:34:52][INFO ][PID: 1422] KASJER: Obsługuję turystę #37 (wiek: 4, VIP: NIE)
[13:34:52][INFO ][PID: 1422] KASJER: Wydaję bilet #36, cena: 11 zł
[13:34:52][INFO ][PID: 1422] KASJER: Obsługuję turystę #38 (wiek: 4, VIP: NIE)
[13:34:52][INFO ][PID: 1422] KASJER: Wydaję bilet #37, cena: 52 zł
[13:34:53][INFO ][PID: 1422] KASJER: Obsługuję turystę #39 (wiek: 33, VIP: NIE)
[13:34:53][INFO ][PID: 1422] KASJER: Wydaję bilet #38, cena: 15 zł
[13:34:53][INFO ][PID: 1422] KASJER: Obsługuję turystę #40 (wiek: 4, VIP: NIE)
[13:34:53][INFO ][PID: 1422] KASJER: Wydaję bilet #39, cena: 52 zł
[13:34:54][INFO ][PID: 1422] KASJER: Obsługuję turystę #41 (wiek: 61, VIP: NIE)
[13:34:54][INFO ][PID: 1422] KASJER: Wydaję bilet #40, cena: 70 zł
[13:34:55][INFO ][PID: 1422] KASJER: Obsługuję turystę #42 (wiek: 20, VIP: NIE)
[13:34:55][INFO ][PID: 1422] KASJER: Wydaję bilet #41, cena: 15 zł
[13:34:56][INFO ][PID: 1422] KASJER: Obsługuję turystę #43 (wiek: 27, VIP: NIE)
[13:34:56][INFO ][PID: 1422] KASJER: Wydaję bilet #42, cena: 100 zł
[13:34:56][INFO ][PID: 1422] KASJER: Obsługuję turystę #44 (wiek: 4, VIP: NIE)
[13:34:56][INFO ][PID: 1422] KASJER: Wydaję bilet #43, cena: 75 zł
[13:34:56][INFO ][PID: 1422] KASJER: Obsługuję turystę #45 (wiek: 7, VIP: NIE)
[13:34:56][INFO ][PID: 1422] KASJER: Wydaję bilet #44, cena: 11 zł
[13:34:57][INFO ][PID: 1422] KASJER: Obsługuję turystę #46 (wiek: 23, VIP: NIE)
[13:34:57][INFO ][PID: 1422] KASJER: Wydaję bilet #45, cena: 70 zł
