[14:54:11][INFO ][PID:  493] PRACOWNIK2: Rozpoczynam pracę (PID: 493)
[14:54:13][INFO ][PID:  493] PRACOWNIK2: Krzesełko #0 - 1 pasażerów
[14:54:13][DEBUG][PID:  493] PRACOWNIK2: Turysta #1 -> wyjście 1
[14:54:14][INFO ][PID:  493] PRACOWNIK2: Krzesełko #1 - 1 pasażerów
[14:54:14][DEBUG][PID:  493] PRACOWNIK2: Turysta #2 -> wyjście 0
[14:54:15][INFO ][PID:  493] PRACOWNIK2: Krzesełko #2 - 1 pasażerów
[14:54:15][DEBUG][PID:  493] PRACOWNIK2: Turysta #3 -> wyjście 1
[14:54:16][INFO ][PID:  493] PRACOWNIK2: Krzesełko #3 - 2 pasażerów
[14:54:16][DEBUG][PID:  493] PRACOWNIK2: Turysta #4 -> wyjście 0
[14:54:16][DEBUG][PID:  493] PRACOWNIK2: Turysta #5 -> wyjście 0
[14:54:17][INFO ][PID:  493] PRACOWNIK2: Krzesełko #4 - 1 pasażerów
[14:54:17][DEBUG][PID:  493] PRACOWNIK2: Turysta #6 -> wyjście 1
[14:54:18][INFO ][PID:  493] PRACOWNIK2: Krzesełko #5 - 2 pasażerów
[14:54:18][DEBUG][PID:  493] PRACOWNIK2: Turysta #7 -> wyjście 0
[14:54:18][DEBUG][PID:  493] PRACOWNIK2: Turysta #8 -> wyjście 0
[14:54:18][INFO ][PID:  493] PRACOWNIK2: Krzesełko #6 - 2 pasażerów
[14:54:18][DEBUG][PID:  493] PRACOWNIK2: Turysta #4 -> wyjście 1
[14:54:18][DEBUG][PID:  493] PRACOWNIK2: Turysta #5 -> wyjście 0
[14:54:19][INFO ][PID:  493] PRACOWNIK2: Krzesełko #7 - 3 pasażerów
[14:54:19][DEBUG][PID:  493] PRACOWNIK2: Turysta #9 -> wyjście 0
[14:54:19][DEBUG][PID:  493] PRACOWNIK2: Turysta #11 -> wyjście 0
[14:54:19][DEBUG][PID:  493] PRACOWNIK2: Turysta #10 -> wyjście 0
[14:54:19][INFO ][PID:  493] PRACOWNIK2: Krzesełko #8 - 1 pasażerów
[14:54:19][DEBUG][PID:  493] PRACOWNIK2: Turysta #6 -> wyjście 0
[14:54:20][INFO ][PID:  493] PRACOWNIK2: Krzesełko #9 - 1 pasażerów
[14:54:20][DEBUG][PID:  493] PRACOWNIK2: Turysta #3 -> wyjście 1
[14:54:20][INFO ][PID:  493] PRACOWNIK2: Krzesełko #10 - 1 pasażerów
[14:54:20][DEBUG][PID:  493] PRACOWNIK2: Turysta #12 -> wyjście 1
[14:54:22][INFO ][PID:  493] PRACOWNIK2: Krzesełko #11 - 4 pasażerów
[14:54:22][DEBUG][PID:  493] PRACOWNIK2: Turysta #13 -> wyjście 1
[14:54:22][DEBUG][PID:  493] PRACOWNIK2: Turysta #14 -> wyjście 1
[14:54:22][DEBUG][PID:  493] PRACOWNIK2: Turysta #16 -> wyjście 1
[14:54:22][DEBUG][PID:  493] PRACOWNIK2: Turysta #15 -> wyjście 1
[14:54:24][INFO ][PID:  493] PRACOWNIK2: Krzesełko #12 - 4 pasażerów
[14:54:24][DEBUG][PID:  493] PRACOWNIK2: Turysta #17 -> wyjście 1
[14:54:24][DEBUG][PID:  493] PRACOWNIK2: Turysta #18 -> wyjście 0
[14:54:24][DEBUG][PID:  493] PRACOWNIK2: Turysta #19 -> wyjście 1
[14:54:24][DEBUG][PID:  493] PRACOWNIK2: Turysta #13 -> wyjście 1
[14:54:28][INFO ][PID:  493] PRACOWNIK2: Krzesełko #13 - 4 pasażerów
[14:54:28][DEBUG][PID:  493] PRACOWNIK2: Turysta #20 -> wyjście 0
[14:54:28][DEBUG][PID:  493] PRACOWNIK2: Turysta #21 -> wyjście 1
[14:54:28][DEBUG][PID:  493] PRACOWNIK2: Turysta #17 -> wyjście 0
[14:54:28][DEBUG][PID:  493] PRACOWNIK2: Turysta #13 -> wyjście 1
[14:54:28][INFO ][PID:  493] PRACOWNIK2: Krzesełko #14 - 3 pasażerów
[14:54:28][DEBUG][PID:  493] PRACOWNIK2: Turysta #9 -> wyjście 1
[14:54:28][DEBUG][PID:  493] PRACOWNIK2: Turysta #11 -> wyjście 1
[14:54:28][DEBUG][PID:  493] PRACOWNIK2: Turysta #10 -> wyjście 1
[14:54:30][INFO ][PID:  493] PRACOWNIK2: Krzesełko #15 - 4 pasażerów
[14:54:30][DEBUG][PID:  493] PRACOWNIK2: Turysta #22 -> wyjście 0
[14:54:30][DEBUG][PID:  493] PRACOWNIK2: Turysta #23 -> wyjście 1
[14:54:30][DEBUG][PID:  493] PRACOWNIK2: Turysta #24 -> wyjście 0
